iter,train_loss,val_loss,lr
0,4.183216571807861,4.180157661437988,9.900990099009901e-06
250,2.4889075756073,2.4857001304626465,0.0009862301196726987
500,2.4265100955963135,2.4199936389923096,0.0009051132292283772
750,2.2927682399749756,2.315092086791992,0.0007641763268666832
1000,2.1890182495117188,2.222121238708496,0.0005871607054625496
1250,2.1124753952026367,2.144568681716919,0.00040388523885789244
1500,2.0509161949157715,2.102074146270752,0.0002452232927684166
1750,2.0226471424102783,2.0830113887786865,0.00013790200300522413
2000,1.9933481216430664,2.0575551986694336,0.0001
